Time,Track,Instrument,Beat,Octave,Note,Duration,"Force (%)"
51360,2,BASSLINE,116,5,"Sol #",Half,79
51360,2,BASSLINE,116,6,"Do #",Half,79
51360,2,BASSLINE,116,6,"Re #",Half,79
51360,2,BASSLINE,116,6,"Sol #",Half,79
51360,11,,112,4,Do,Sixteenth,100
51360,7,,118,7,Re,Quarter,96
51360,13,,112,4,"Fa #",Sixteenth,100
51360,3,"INTRO LEAD",116,3,"Sol #",Quarter,79
51360,9,,84,4,Si,Whole,71
51360,9,,84,6,Sol,Whole,71
51360,4,"BACKGROUND SYNTH",116,3,"Sol #",Quarter,79
51360,5,,116,8,Do,Quarter,79
51360,7,,116,5,Re,Eighth,79
